PRICELIST    KITCHEN    EQUIPMENT    PT    EDO    MANDIRI    PRATAMA;;;;;;
;Baskom Sungku Lubang;70cm; Rp185.000 ;6; Rp1.110.000 ;
;Asahan Pisau;; Rp500.000 ;4; Rp2.000.000 ;
;Sendok Nasi Stainless;; Rp25.000 ;10; Rp250.000 ;
;APAR Powder 3 Kg;; Rp450.000 ;3; Rp1.350.000 ;
;P3K dan isinya;; Rp300.000 ;1; Rp300.000 ;
;Insect Killer;; Rp350.000 ;4; Rp1.400.000 ;
;Alat Ukur Suhu Ruangan;; Rp200.000 ;2; Rp400.000 ;
;Gantungan Pakaian;; Rp175.000 ;2; Rp350.000 ;
;Kursi Plastik Senderan Kecil;; Rp75.000 ;12; Rp900.000 ;
;Kursi Plastik Tinggi;; Rp60.000 ;10; Rp600.000 ;
;Dispenser;; Rp1.800.000 ;2; Rp3.600.000 ;
;Serok Biasa 34;; Rp80.000 ;7; Rp560.000 ;
;Serok Biasa 26;; Rp60.000 ;2; Rp120.000 ;
;Serok Stainless 32;; Rp125.000 ;2; Rp250.000 ;
;Pencapit Makanan;; Rp25.000 ;10; Rp250.000 ;
;Keset;; Rp50.000 ;10; Rp500.000 ;
;Jerigen 30 L;; Rp80.000 ;10; Rp800.000 ;
;Kipas Angin Dinding;; Rp400.000 ;3; Rp1.200.000 ;
;Bakul Nasi 55 cm;; Rp85.000 ;23; Rp1.955.000 ;
;Pemantik Api;; Rp20.000 ;2; Rp40.000 ;
;ember besar 48 cm;; Rp80.000 ;5; Rp400.000 ;
;keranjang buah besar;; Rp80.000 ;10; Rp800.000 ;
;keranjang sayur besar;; Rp80.000 ;10; Rp800.000 ;
;Alat Pel;; Rp225.000 ;3; Rp675.000 ;
;Sapu Pengki;; Rp200.000 ;3; Rp600.000 ;
;Cetakan Nasi;; Rp10.000 ;10; Rp100.000 ;
 Total ;;;;; Rp30.460.000 ;
 Grand Total ;;;;; Rp386.490.000 ;
;;;;;;
;;;;;;
